,X,MIG,ID1,ID2,LOC1,LOC2,DAY,MONTH,YEAR,MUS,MUSID,BLENGTH,BWIDTH,BDEPTH,BW4MM,PRIM9,PRIM6,TAIL,TARSUS,TOE,WEIGHT,KIND,SUBSP,LONG,LAT,Reg,K5,K5cur
13,243,1,243,-3,NDAKOTA,PEMBRI,9,JL,1879,ANSP,28778,9.7,3.5,3.2,1.7,62.1,61.8,47.1,17.6,11.2,NA,YELLOW,AESTIVA?,-96,48,ywar5,ywar5,ywar5
14,244,1,244,-3,UTAH,BOXELDER,26,JE,1927,ANSP,85152,9.7,3.7,2.7,1.8,66,66.4,49,19.1,12.3,NA,YELLOW,AESTIVA?,-112,40,ywar3,ywar3,ywar3
15,245,1,245,-3,UTAH,BOXELDER,26,JE,1927,ANSP,85153,9.2,3.5,2.7,1.5,60.6,61.3,47.9,17.4,12,NA,YELLOW,AESTIVA?,-112,40,ywar3,ywar3,ywar3
16,253,1,253,-3,BRIT,COLBONAPA,16,JE,1892,ANSP,31331,9.3,4.3,2.8,1.9,60,57.3,47.4,17.9,13.2,NA,YELLOW,RUBIGINOSA?,-120,50,ywar3,ywar3,ywar3
17,254,1,254,-3,BRIT,COLBONAPA,14,JE,1892,ANSP,31330,9.5,3.7,2.8,1.7,60.3,60.6,49,17.4,8.5,NA,YELLOW,RUBIGINOSA?,-120,50,ywar3,ywar3,ywar3
18,255,1,255,-3,BRIT,COLASHCRO,10,JE,1892,ANSP,31328,9.1,4.4,2.9,1.8,61.8,59.8,45.1,16.9,12.4,NA,YELLOW,RUBIGINOSA?,-120,50,ywar3,ywar3,ywar3
19,256,1,256,-3,BRIT,COLASHCRO,3,JE,1892,ANSP,31326,8.8,3.8,2.8,1.7,59.7,59.1,41.6,17.4,13.5,NA,YELLOW,RUBIGINOSA?,-120,50,ywar3,ywar3,ywar3
20,257,1,257,-3,BRIT,COLASHCRO,10,JE,1892,ANSP,31327,9.6,4.1,3,1.7,61.4,61.4,44.3,17.8,11.2,NA,YELLOW,RUBIGINOSA?,-120,50,ywar3,ywar3,ywar3
21,259,1,259,-3,BRIT,COLCLINTO,17,JE,1892,ANSP,31332,8.9,3.7,2.6,1.7,62.4,60.7,45.1,17.7,11.4,NA,YELLOW,RUBIGINOSA?,-120,50,ywar3,ywar3,ywar3
22,323,1,323,1,NEWYORK,CHAUTA,10,JE,1970,MIAMI,6176,9.1,3.6,3,1.6,63.2,62.8,45.9,18.1,10,13,YELLOW,AESTIVA?,-78,42,ywar6,ywar6,ywar6
23,324,1,324,1,NEWYORK,CHAUTA,10,JE,1970,MIAMI,6175,9.3,4.4,3.2,2,60,57.3,42.3,18.1,7,13,YELLOW,AESTIVA?,-78,42,ywar6,ywar6,ywar6
24,341,1,341,-3,PEI,TIGNISH,30,JE,1892,AMNH,380957,9.3,4,3.1,1.9,59,59.9,42.6,18.4,13.8,NA,YELLOW,NA,-64,46,ywar6,ywar6,ywar6
25,342,1,342,-3,PEI,TIGNISH,25,JE,1892,AMNH,380956,9,4.5,3.5,1.9,65.3,64.3,48.1,18.5,13.4,NA,YELLOW,NA,-64,46,ywar6,ywar6,ywar6
26,343,1,343,-3,ALBERTA,WALSH,10,JL,1906,AMNH,380951,9,4.1,3.5,2,57.7,56.4,40.8,17.8,14.2,NA,YELLOW,NA,-110,48,ywar3,ywar3,ywar3
